Message,Length,Label
"Congratulations! You've won a free cruise. Claim now!",61,1
"Limited time offer: Get free access to premium courses!",58,1
"Urgent: Your account has been compromised. Verify immediately.",67,1
"You have been selected for a $1000 cash prize. Reply now!",62,1
"Earn money fast from home with this simple trick!",53,1
"Claim your free gift card by clicking the link below.",57,1
"Winner! Call now to collect your lottery winnings.",53,1
"Exclusive deal: Cheap medications available online.",51,1
"Act now to receive a free vacation package.",49,1
"Final notice: Your overdue invoice must be paid immediately.",64,1
"Hey, are we still on for dinner tonight?",41,0
"Meeting rescheduled: Please check your calendar for updates.",61,0
"Don't forget to bring your laptop to the presentation.",55,0
"Happy birthday! Wishing you a wonderful celebration.",56,0
"Just finished the project report. Let's review tomorrow.",58,0
"Looking forward to our weekend hiking trip!",46,0
"Could you send me the updated files when you get a chance?",68,0
"Let's catch up over coffee sometime this week.",48,0
"Remember to submit your assignment by Friday.",48,0
"Had a great time at the concert last night.",44,0